Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[karyotype]	Comment[additional information]	Characteristics[block]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[developmental stage]	Factor Value[organism part]
HDBR309	ERS1221356	SAMEA4050246	Homo sapiens	11918	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR309	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR309_GAGTGG_L006	sequencing assay	ERX1544082	HDBR309_GAGTGG_L006_1.fq.gz	HDBR309_GAGTGG_L006_1.fq.gz	ERR1472957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1472957/ERR1472957_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR309	ERS1221356	SAMEA4050246	Homo sapiens	11918	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR309	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR309_GAGTGG_L006	sequencing assay	ERX1544082	HDBR309_GAGTGG_L006_2.fq.gz	HDBR309_GAGTGG_L006_2.fq.gz	ERR1472957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1472957/ERR1472957_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR310	ERS1221357	SAMEA4050247	Homo sapiens	11918	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR310	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR310_GTTTCG_L006	sequencing assay	ERX1544083	HDBR310_GTTTCG_L006_1.fq.gz	HDBR310_GTTTCG_L006_1.fq.gz	ERR1472958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1472958/ERR1472958_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR310	ERS1221357	SAMEA4050247	Homo sapiens	11918	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR310	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR310_GTTTCG_L006	sequencing assay	ERX1544083	HDBR310_GTTTCG_L006_2.fq.gz	HDBR310_GTTTCG_L006_2.fq.gz	ERR1472958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR1472958/ERR1472958_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR353	ERS1221358	SAMEA4050248	Homo sapiens	11831	Carnegie Stage 22	basal ganglion	left	46, XY	 	sequencing batch:FC2014_035	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR353	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR353_ATGTCA_L006	sequencing assay	ERX1544084	HDBR353_ATGTCA_L006_1.fq.gz	HDBR353_ATGTCA_L006_1.fq.gz	ERR1472959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1472959/ERR1472959_1.fastq.gz	200	101	Carnegie Stage 22	basal ganglion
HDBR353	ERS1221358	SAMEA4050248	Homo sapiens	11831	Carnegie Stage 22	basal ganglion	left	46, XY	 	sequencing batch:FC2014_035	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR353	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR353_ATGTCA_L006	sequencing assay	ERX1544084	HDBR353_ATGTCA_L006_2.fq.gz	HDBR353_ATGTCA_L006_2.fq.gz	ERR1472959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR1472959/ERR1472959_2.fastq.gz	200	101	Carnegie Stage 22	basal ganglion
HDBR357	ERS1221359	SAMEA4050249	Homo sapiens	11831	Carnegie Stage 22	basal ganglion	right	46, XY	 	sequencing batch:FC2014_032	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR357	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR357_GCCAAT_L005	sequencing assay	ERX1544085	HDBR357_GCCAAT_L005_1.fq.gz	HDBR357_GCCAAT_L005_1.fq.gz	ERR1472960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1472960/ERR1472960_1.fastq.gz	200	101	Carnegie Stage 22	basal ganglion
HDBR357	ERS1221359	SAMEA4050249	Homo sapiens	11831	Carnegie Stage 22	basal ganglion	right	46, XY	 	sequencing batch:FC2014_032	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR357	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR357_GCCAAT_L005	sequencing assay	ERX1544085	HDBR357_GCCAAT_L005_2.fq.gz	HDBR357_GCCAAT_L005_2.fq.gz	ERR1472960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/000/ERR1472960/ERR1472960_2.fastq.gz	200	101	Carnegie Stage 22	basal ganglion
HDBR419	ERS1221360	SAMEA4050250	Homo sapiens	11845	9 post conception weeks	basal ganglion	right	46, XY	 	sequencing batch:FC2014_043, FC2014_117	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR419	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR419_CAGATC_L004	sequencing assay	ERX1544086	HDBR419_CAGATC_L004_1.fq.gz	HDBR419_CAGATC_L004_1.fq.gz	ERR1472961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1472961/ERR1472961_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR419	ERS1221360	SAMEA4050250	Homo sapiens	11845	9 post conception weeks	basal ganglion	right	46, XY	 	sequencing batch:FC2014_043, FC2014_117	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR419	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR419_CAGATC_L004	sequencing assay	ERX1544086	HDBR419_CAGATC_L004_2.fq.gz	HDBR419_CAGATC_L004_2.fq.gz	ERR1472961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/001/ERR1472961/ERR1472961_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR419	ERS1221360	SAMEA4050250	Homo sapiens	11845	9 post conception weeks	basal ganglion	right	46, XY	 	sequencing batch:FC2014_043, FC2014_117	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR419	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR419_run2_CAGATC_L006	sequencing assay	ERX1544086	HDBR419_run2_CAGATC_L006_1.fq.gz	HDBR419_run2_CAGATC_L006_1.fq.gz	ERR1472962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1472962/ERR1472962_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR419	ERS1221360	SAMEA4050250	Homo sapiens	11845	9 post conception weeks	basal ganglion	right	46, XY	 	sequencing batch:FC2014_043, FC2014_117	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR419	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR419_run2_CAGATC_L006	sequencing assay	ERX1544086	HDBR419_run2_CAGATC_L006_2.fq.gz	HDBR419_run2_CAGATC_L006_2.fq.gz	ERR1472962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1472962/ERR1472962_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR433	ERS1221361	SAMEA4050251	Homo sapiens	11851	9 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR433	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR433_GTGGCC_L001	sequencing assay	ERX1544087	HDBR433_GTGGCC_L001_1.fq.gz	HDBR433_GTGGCC_L001_1.fq.gz	ERR1472963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1472963/ERR1472963_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR433	ERS1221361	SAMEA4050251	Homo sapiens	11851	9 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR433	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR433_GTGGCC_L001	sequencing assay	ERX1544087	HDBR433_GTGGCC_L001_2.fq.gz	HDBR433_GTGGCC_L001_2.fq.gz	ERR1472963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1472963/ERR1472963_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR437	ERS1221362	SAMEA4050252	Homo sapiens	11851	9 post conception weeks	basal ganglion	right	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR437	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR437_AGTCAA_L002	sequencing assay	ERX1544088	HDBR437_AGTCAA_L002_1.fq.gz	HDBR437_AGTCAA_L002_1.fq.gz	ERR1472964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1472964/ERR1472964_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR437	ERS1221362	SAMEA4050252	Homo sapiens	11851	9 post conception weeks	basal ganglion	right	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR437	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR437_AGTCAA_L002	sequencing assay	ERX1544088	HDBR437_AGTCAA_L002_2.fq.gz	HDBR437_AGTCAA_L002_2.fq.gz	ERR1472964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1472964/ERR1472964_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR449	ERS1221363	SAMEA4050253	Homo sapiens	11873	9 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_075	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR449	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR449_GAGTGG_L007	sequencing assay	ERX1544089	HDBR449_GAGTGG_L007_1.fq.gz	HDBR449_GAGTGG_L007_1.fq.gz	ERR1472965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1472965/ERR1472965_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR449	ERS1221363	SAMEA4050253	Homo sapiens	11873	9 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_075	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR449	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR449_GAGTGG_L007	sequencing assay	ERX1544089	HDBR449_GAGTGG_L007_2.fq.gz	HDBR449_GAGTGG_L007_2.fq.gz	ERR1472965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1472965/ERR1472965_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR457	ERS1221364	SAMEA4050254	Homo sapiens	11873	9 post conception weeks	basal ganglion	right	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR457	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR457_TTAGGC_L006	sequencing assay	ERX1544090	HDBR457_TTAGGC_L006_1.fq.gz	HDBR457_TTAGGC_L006_1.fq.gz	ERR1472966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1472966/ERR1472966_1.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR457	ERS1221364	SAMEA4050254	Homo sapiens	11873	9 post conception weeks	basal ganglion	right	46, XX	 	sequencing batch:FC2014_066	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR457	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR457_TTAGGC_L006	sequencing assay	ERX1544090	HDBR457_TTAGGC_L006_2.fq.gz	HDBR457_TTAGGC_L006_2.fq.gz	ERR1472966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1472966/ERR1472966_2.fastq.gz	200	101	9 post conception weeks	basal ganglion
HDBR476	ERS1221365	SAMEA4050255	Homo sapiens	11832	Late 8 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_071	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR476	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR476_CGATGT_L007	sequencing assay	ERX1544091	HDBR476_CGATGT_L007_1.fq.gz	HDBR476_CGATGT_L007_1.fq.gz	ERR1472967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1472967/ERR1472967_1.fastq.gz	200	101	Late 8 post conception weeks	basal ganglion
HDBR476	ERS1221365	SAMEA4050255	Homo sapiens	11832	Late 8 post conception weeks	basal ganglion	left	46, XX	 	sequencing batch:FC2014_071	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR476	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR476_CGATGT_L007	sequencing assay	ERX1544091	HDBR476_CGATGT_L007_2.fq.gz	HDBR476_CGATGT_L007_2.fq.gz	ERR1472967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR1472967/ERR1472967_2.fastq.gz	200	101	Late 8 post conception weeks	basal ganglion
